client_id,pb_id,name,phone,email,type,target_profit_rate,init_asset
1,1,강민우,010-5678-1234,support_staff@gmail.com,안정형,60,1065331862
2,1,손예지,010-4321-8765,marketing@example.co.kr,공격투자형,116,1586341275
3,1,장동휘,010-7890-3456,project_manager@workplace.com,위험중립형,75,1786756007
4,1,한수민,010-3210-9876,customer_service@company.co.kr,적극투자형,44,1196364886
5,1,윤서연,010-5432-1098,tech_lead@example.com,위험중립형,36,158227264
6,1,오승현,010-6789-2345,hr_recruiter@gmail.com,공격투자형,102,1053319704
7,1,권혁준,010-2109-8765,sales_representative@company.co.kr,공격투자형,113,1445020179
8,1,최연리,010-0805-8501,aakar@del3vsnl.net.in,위험중립형,92,1301145098
9,1,윤여신,010-1337-7410,aamuktsar@yahoo.co.in,안정형,59,449558475
10,1,엄영운,010-3778-0389,aas9kar@yahoo.co.in,안정추구형,36,257742925
11,1,허혜연,010-8005-2750,aayushgoel@rediffmail.com,적극투자형,123,302098250
12,1,하슬선,010-3458-3215,ab_mayers_45r@yahoo.com,안정형,49,273032757
13,1,홍비영,010-2537-5996,abbaraju.srihari@dresdner-bank.com,안정추구형,87,786109558
14,1,허아신,010-4758-8495,abcfood@intnet.mu,공격투자형,89,1712213851
15,1,박진소,010-9899-0251,abeon@intnet.mu,위험중립형,101,217356812
16,1,이하현,010-1332-5088,aberera@danahermi.com,적극투자형,70,148549917
17,1,남김완,010-6056-3560,abhatia@commonwealthts.com,안정형,87,1829684010
18,1,여가승,010-1650-6130,abhay.veer@aajtak.com,적극투자형,79,1778333003
19,1,최슬림,010-5025-9224,abhaya.shankar@tenneco-automative.com,안정추구형,48,1345992101
20,1,편송름,010-3941-8869,abhayvaid@yahoo.co.uk,적극투자형,83,1975602883
21,1,백우욱,010-3324-4794,abhayveer.singh@aajtak.com,안정형,63,1626235558
22,1,방태승,010-6050-2178,abhi22may@yahoo.com,위험중립형,126,756305834
23,1,배주윤,010-9808-9985,abhilashnigam@yahoo.co.in,위험중립형,69,1549040038
24,1,안조윤,010-1405-5732,abhishekpandey83@gmail.com,안정추구형,88,1346162328
25,1,우초지,010-6563-0251,abn@abn.com,안정형,71,705514393
26,1,홍률혜,010-6863-6398,academy@vsnl.in,위험중립형,92,1198558701
27,1,탁원선,010-5561-5078,accountant121@yahoo.co.uk,공격투자형,124,785944815
28,1,편연욱,010-9663-4304,ace_san23@yahoo.co.in,안정추구형,81,447952283
29,1,남우민,010-6118-5681,aceglobal@vsnl.com,안정추구형,83,1637458933
30,1,진의지,010-5424-6401,acetedu@gmail.com,안정형,95,249935609
31,1,지고안,010-9558-7225,achalgulati@rediffmail.com,안정형,47,745750025
32,1,이수승,010-8307-2026,achohan@yahoo.com,공격투자형,105,245287550
33,1,정준임,010-9029-5935,across@indiaingr.com,공격투자형,53,1971074608
34,1,변선승,010-9400-3492,acs@ambujamail.com,위험중립형,49,1115779709
35,1,진소기,010-3547-4973,adamandeve@sbcglobal.net,적극투자형,56,1389675750
36,1,안나한,010-8521-4422,adams_madame@hotmail.com,위험중립형,114,1802619768
37,1,신여아,010-0286-8116,adeep612@hotmail.com,위험중립형,116,190427718
38,1,하우린,010-5853-9115,adeepgill@yahoo.co.in,공격투자형,121,242307044
39,1,우가언,010-7727-9700,adent@pn3.vsnl.net.in,공격투자형,84,1853918038
40,1,진보련,010-9456-1458,aditi_9_in@yahoo.com,적극투자형,81,1502143356
41,1,김나욱,010-5158-8571,aditiphadnis@yahoo.co.in,위험중립형,130,940645046
42,1,장소교,010-9969-2584,aditisinha19@gmail.com,위험중립형,113,1261162256
43,1,우기당,010-2113-9643,aditya.awash@timesgroup.com,공격투자형,52,1896958266
44,1,추김혜,010-5126-6781,aditya.chhibber@gmail.com,공격투자형,77,978981127
45,1,민준승,010-0661-2449,aditya@dlfgroup.in,안정추구형,106,1904445092
46,1,문명세,010-1300-0873,adlabas@boms.vsnl.net.in,안정추구형,86,1301900736
47,1,전한란,010-0455-7646,admin@gurmatps.org,안정형,67,270492423
48,1,염준호,010-7928-3113,admin@icfventures.com,안정추구형,79,1804013298
49,1,엄고이,010-2324-1685,admin@sikhphilosophy.net,적극투자형,107,746740071
50,1,고진현,010-8868-2515,adni_news@vsnl.net,안정형,105,312372002
51,1,유다리,010-0214-5685,ads@hemtex.com,안정추구형,114,1847290300
52,1,백률민,010-9034-9792,adulter@tempinbox.com,위험중립형,118,1585329331
53,1,차송린,010-3345-3011,adulter@tempinbox.com,공격투자형,47,1691233523
54,1,우지언,010-5988-9603,adulter@tempinbox.com,적극투자형,124,547584660
55,1,곽진성,010-6559-0522,adulter@tempinbox.com,안정형,103,1952869249
56,1,배김늘,010-2621-1824,adulter@tempinbox.com,안정형,32,234578147
57,1,서연호,010-5068-6608,adv_gurminder@yahoo.com,안정형,106,448700412
58,1,양도경,010-6080-5949,afcons@afconsindia.com,적극투자형,121,1092614198
59,1,여영안,010-8846-6893,affablearash@yahoo.com,위험중립형,46,320815369
60,1,문한완,010-2201-7375,afterkiraagain@yahoo.com,안정형,64,654156630
61,1,백선원,010-7371-0197,afterkiraagain@yahoo.com,안정형,60,481773596
62,1,은채임,010-3361-2937,afzal303@hotmail.com,공격투자형,108,1074469677
63,1,원하민,010-9386-9030,aggarwal@fcg.cominmaster.com,적극투자형,81,623909742
64,1,진채성,010-9677-5563,aggoel@hotmail.com,적극투자형,67,245222831
65,1,박연예,010-9604-0974,agill@apcopetroleum.com,공격투자형,83,765571637
66,1,이비우,010-1240-6087,agill@sutton.com,적극투자형,127,1291566455
67,1,김규예,010-9082-0804,agmohan.batula@aajtak.com,공격투자형,115,1424916940
68,1,엄도유,010-8465-2424,agnihotrivinod@outlookindia.com,안정형,78,1314935441
69,1,차상온,010-3668-7595,agrewal@sutton.com,안정형,38,1887390052
70,1,곽교빈,010-2472-9107,ahmadkazmi@hotmail.com,적극투자형,124,1947556855
71,1,송채현,010-6565-4176,ahs@3ho.org,적극투자형,119,141966235
72,1,도지리,010-1333-8952,ahujagulshan@yahoo.com,공격투자형,103,1874115623
73,1,김의림,010-1029-1876,ahujas4@juno.com,적극투자형,127,721940274
74,1,구세혜,010-1697-7618,aig.infoexchange@aig.com,공격투자형,111,1718752154
75,1,한조교,010-5029-5289,aijaz@cardcomworldwide.com,안정추구형,39,1833906468
76,1,구나희,010-8870-6217,aik@nexlinx.net.pk,안정추구형,36,963695016
77,1,엄원채,010-9195-0721,air3g@yahoo.co.in,적극투자형,61,1321255974
78,1,엄민림,010-6274-6912,aj@goodinc.com,안정추구형,81,1011223387
79,1,임성욱,010-9998-6107,ajaimehandru@hotmail.com,위험중립형,71,580838335
80,1,방송빈,010-7565-4983,ajay.kohli@bankofamerica.com,안정추구형,68,429856153
81,1,임선현,010-4086-4209,AJAY_MAKHIJA@HOTMAIL.COM,위험중립형,61,770399679
82,1,변여란,010-6528-6895,ajay_ritu@clear.net.nz,위험중립형,95,1874900624
83,1,손승령,010-2876-6208,ajayajay_kumar2007@yahoo.co.in,안정추구형,63,764228306
84,1,한원우,010-2350-9720,ajaychouhan999@yahoo.com,안정추구형,116,1783690310
85,1,엄현현,010-2638-4696,ajaydeep@hotmail.com,위험중립형,89,481488120
86,1,문윤주,010-6387-1803,Ajaydeepak@hotmail.com,위험중립형,98,1437593956
87,1,윤경원,010-9978-5753,ajaykkaul@yahoo.co.uk,안정추구형,49,1939581780
88,1,박다림,010-1505-3614,ajaypal.dhaliwal@gmail.com,적극투자형,97,731489791
89,1,백솔희,010-2135-4543,ajeet229@yahoo.com,공격투자형,69,1829317256
90,1,석의정,010-5752-1388,ajit@ajitjalandhar.com,안정추구형,115,601841511
91,1,유양채,010-2505-5029,ajit@jla.vsnl.net.in,적극투자형,95,1042602697
92,1,방상나,010-9180-2054,ajitbhattacharjea@yahoo.co.in,안정추구형,50,1646460696
93,1,석태성,010-7229-3884,ajitji@gmail.com,안정형,80,772004252
94,1,문영휘,010-7066-0795,ajitjohar@aol.com,안정추구형,70,111844509
95,1,송한진,010-4905-2208,ajitweekly@yahoo.com,안정형,75,1977091084
96,1,한규완,010-4026-5017,ajoybose@vsnl.com,위험중립형,92,1371684482
97,1,방양경,010-4225-3056,ajoykumar@comneti.com,안정형,103,1549575236
98,1,석다소,010-1581-4616,ajssodhi@hotmail.com,공격투자형,30,1046479680
99,1,표유빈,010-5977-2413,ak05@xtra.co.nz,공격투자형,31,799528815
100,1,배성예,010-2197-0430,ak05@xtra.co.nz,적극투자형,63,1797574558
