client_id,email,init_asset,name,phone,target_profit_rate,type,pb_id
1,support_staff@gmail.com,1065331862,강민우,010-5678-1234,60,안정형,1
2,marketing@example.co.kr,1586341275,손예지,010-4321-8765,116,공격투자형,1
3,project_manager@workplace.com,1786756007,장동휘,010-7890-3456,75,위험중립형,1
4,customer_service@company.co.kr,1196364886,한수민,010-3210-9876,44,적극투자형,1
5,tech_lead@example.com,158227264,윤서연,010-5432-1098,36,위험중립형,1
6,hr_recruiter@gmail.com,1053319704,오승현,010-6789-2345,102,공격투자형,1
7,sales_representative@company.co.kr,1445020179,권혁준,010-2109-8765,113,공격투자형,1
8,aakar@del3vsnl.net.in,1301145098,최연리,010-0805-8501,92,위험중립형,1
9,aamuktsar@yahoo.co.in,449558475,윤여신,010-1337-7410,59,안정형,1
10,aas9kar@yahoo.co.in,257742925,엄영운,010-3778-0389,36,안정추구형,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
70,ahmadkazmi@hotmail.com,1947556855,곽교빈,010-2472-9107,124,적극투자형,1
71,ahs@3ho.org,141966235,송채현,010-6565-4176,119,적극투자형,1
72,ahujagulshan@yahoo.com,1874115623,도지리,010-1333-8952,103,공격투자형,1
73,ahujas4@juno.com,721940274,김의림,010-1029-1876,127,적극투자형,1
74,aig.infoexchange@aig.com,1718752154,구세혜,010-1697-7618,111,공격투자형,1
75,aijaz@cardcomworldwide.com,1833906468,한조교,010-5029-5289,39,안정추구형,1
76,aik@nexlinx.net.pk,963695016,구나희,010-8870-6217,36,안정추구형,1
77,air3g@yahoo.co.in,1321255974,엄원채,010-9195-0721,61,적극투자형,1
78,aj@goodinc.com,1011223387,엄민림,010-6274-6912,81,안정추구형,1
79,ajaimehandru@hotmail.com,580838335,임성욱,010-9998-6107,71,위험중립형,1
80,ajay.kohli@bankofamerica.com,429856153,방송빈,010-7565-4983,68,안정추구형,1
81,AJAY_MAKHIJA@HOTMAIL.COM,770399679,임선현,010-4086-4209,61,위험중립형,1
82,ajay_ritu@clear.net.nz,1874900624,변여란,010-6528-6895,95,위험중립형,1
83,ajayajay_kumar2007@yahoo.co.in,764228306,손승령,010-2876-6208,63,안정추구형,1
84,ajaychouhan999@yahoo.com,1783690310,한원우,010-2350-9720,116,안정추구형,1
85,ajaydeep@hotmail.com,481488120,엄현현,010-2638-4696,89,위험중립형,1
86,Ajaydeepak@hotmail.com,1437593956,문윤주,010-6387-1803,98,위험중립형,1
87,ajaykkaul@yahoo.co.uk,1939581780,윤경원,010-9978-5753,49,안정추구형,1
88,ajaypal.dhaliwal@gmail.com,731489791,박다림,010-1505-3614,97,적극투자형,1
89,ajeet229@yahoo.com,1829317256,백솔희,010-2135-4543,69,공격투자형,1
90,ajit@ajitjalandhar.com,601841511,석의정,010-5752-1388,115,안정추구형,1
91,ajit@jla.vsnl.net.in,1042602697,유양채,010-2505-5029,95,적극투자형,1
92,ajitbhattacharjea@yahoo.co.in,1646460696,방상나,010-9180-2054,50,안정추구형,1
93,ajitji@gmail.com,772004252,석태성,010-7229-3884,80,안정형,1
94,ajitjohar@aol.com,111844509,문영휘,010-7066-0795,70,안정추구형,1
95,ajitweekly@yahoo.com,1977091084,송한진,010-4905-2208,75,안정형,1
96,ajoybose@vsnl.com,1371684482,한규완,010-4026-5017,92,위험중립형,1
97,ajoykumar@comneti.com,1549575236,방양경,010-4225-3056,103,안정형,1
98,ajssodhi@hotmail.com,1046479680,석다소,010-1581-4616,30,공격투자형,1
99,ak05@xtra.co.nz,799528815,표유빈,010-5977-2413,31,공격투자형,1
100,ak05@xtra.co.nz,1797574558,배성예,010-2197-0430,63,적극투자형,1
